month,temp_f
January,18.731290322580644
February,24.395
March,37.61822580645161
April,44.61675
May,61.22798387096775
June,68.24125000000001
July,73.02209677419356
August,72.10274193548388
September,61.672
October,51.718951612903226
November,33.6765
December,26.048629032258063
